StartDate,EndDate,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,id,comp1g1 ,comp2g1,Action1rA ,Action1rB,treatment,role,action,comp1g1BZ ,comp2g1BZ,ActionABZ,ActionBBZ,comp1EW ,comp2EW,EWg1actionA,EWg1actionB ,Advice1,About,Dnorm1,Dnorm2,Snorm1 ,Snorm2,Lotteries,education ,hamlet,politics_1,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
9/20/23 12:50,9/20/23 12:57,178.36.230.120,100,394,True,9/20/23 12:57,R_x9MlHi8b5xAVIrL,,51.1449,15.0125,EN,0.899999976,611bd9d8f2dc237d183fe3f7,,,,,ew,b,Pass,,,,,0 tokens,15 tokens,,Pass,"Do not hold, it is more effective at the end. You must trust in each other or there will be loses",Lending somebody money and not having assurance he will pay you back the money,Pass,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",Some college,200000,71.0,650b30db17e345eff0eed8d0,APPROVED,2023-09-20T17:50:29.989000Z,2023-09-20T17:58:43.901000Z,2023-09-20T18:21:51.636000,2023-09-20T17:59:12.050638Z,494.0,C1BEKJ6Y,167,23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
9/20/23 12:50,9/20/23 13:13,41.116.194.216,100,1374,True,9/20/23 13:13,R_1FDqwJfLcWpjeYi,,-34.0486,18.4811,EN,1.0,60fb5516e04ddad82ee75e7f,,,,,ew,b,Pass,,,,,0 tokens,15 tokens,,Pass,I think the best way is to pass the token not to hold them because if you pass them the game continue. but on other hand if you both  the parties choose to hold then the game ends. Using the common sense the best is to continue to play there more to wine than to hold.,am not sure but i think this blockchain or crypto or bitcoin because is the only thing that depend on being traded to increase value but if all of us we chose to hold then there is appreciation in value. ,Pass,Hold,Pass,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens","Four-year degree (Bachelor's, etc.)",200000,81.0,650b30f315a9dff79c19618a,APPROVED,2023-09-20T17:50:51.187000Z,2023-09-20T18:16:03.364000Z,2023-09-20T18:21:51.855000,2023-09-20T18:16:04.602010Z,1513.0,C1BEKJ6Y,157,23,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
9/20/23 12:50,9/20/23 13:07,197.245.240.190,100,1001,True,9/20/23 13:07,R_2pPQ4d9g0Stb1mj,,-25.7599,28.2604,EN,0.899999976,60eef7de7fbae0b24bae2a84,,,,,bz,a,Pass,10 tokens,15 tokens,Pass,,,,,,Be thoughtful about the role that you have been given and read the instructions carefully.,This interaction reminds me of making investments for the future hence I decided to pass in my decision.,Hold,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",High school,1000,50.0,650b30fb759ee7e2b3a4ae6b,APPROVED,2023-09-20T17:50:51.705000Z,2023-09-20T18:08:16.950000Z,2023-09-20T18:21:56.981000,2023-09-20T18:08:47.728862Z,1046.0,C1BEKJ6Y,37,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
9/20/23 12:50,9/20/23 13:01,92.19.48.21,100,643,True,9/20/23 13:01,R_3JJyAF3cuW89uh4,,53.7981,-1.7623,EN,1.0,5cbded7f5afb9400162c939f,0 tokens,15 tokens,,Pass,k,b,Pass,,,,,,,,,Play the game with the thought that the other player could play the saame strategy ,If two people have to decide how things go they need to be on the same page ,Pass,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",Some college,"500,000",50.0,650b30f6582180c6a6e7a242,APPROVED,2023-09-20T17:50:53.262000Z,2023-09-20T18:02:21.803000Z,2023-09-20T18:21:56.812000,2023-09-20T18:02:22.713381Z,689.0,C1BEKJ6Y,182,25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
9/20/23 12:51,9/20/23 13:00,148.71.65.44,100,527,True,9/20/23 13:00,R_vHpK1XH8dqn6Qmt,,39.7433,-8.8056,EN,1.0,60b426f3e7a2c78cfdadd6b1,,,,,bz,a,Pass,10 tokens,15 tokens,Pass,,,,,,In my opinion the best way to get the most out of the game is to pass as much as possible in order to get the growth out of the Role A. This way we only keep growing the ammount of tokens ,"Well, i see it kinda like stocks, in wich as longer as you hold to them, you get a bigger payout when evventually you decide to sell. Long term deals tend to be better in my point of view, due to interest",Pass,Hold,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",Some college,10000,60.0,650b30fa6d8fd1bd18eed8f5,APPROVED,2023-09-20T17:51:12.271000Z,2023-09-20T18:00:40.520000Z,2023-09-20T18:21:51.958000,2023-09-20T18:00:41.064326Z,569.0,C1BEKJ6Y,78,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
9/20/23 12:51,9/20/23 13:00,84.122.21.191,100,531,True,9/20/23 13:00,R_pRWQF2MpwIFbSXD,,37.7746,-3.7787,ES-ES,0.899999976,57b3a754cbe60100013773f2,0 tokens,15 tokens,,Pass,k,b,Pass,,,,,,,,,"So that we both win, the best decision, from my point of view, is to pass. Both you and I, if we choose that option, always end up winning chips on both sides.","This interaction reminds me, in a general way, of any human interaction. It's also comparable to exams; if you pass, both the student and the teacher benefit. On one hand, the student gains by passing the subject and continuing their learning, and on the other hand, the teacher benefits from having taught well, the satisfaction of their students learning, and the percentage of students passing, which contributes to their success as a teacher.",Pass,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens","Four-year degree (Bachelor's, etc.)",300,65.0,650b31208dda3d3c13b73341,APPROVED,2023-09-20T17:51:33.005000Z,2023-09-20T18:00:54.156000Z,2023-09-20T18:21:57.138000,2023-09-20T18:00:54.821494Z,562.0,C1BEKJ6Y,538,30,Female,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
9/20/23 12:51,9/20/23 12:56,31.183.34.233,100,305,True,9/20/23 12:56,R_2dR7HcvVwZ4FNLJ,,51.7737,19.4767,EN,0.899999976,6163081a989e430fa6d8c95e,0 tokens,15 tokens,Hold,,k,a,Hold,,,,,,,,,"When engaging in a game involving tokens and multiple players like the one you just experienced with Player A and B, it's crucial to maintain a strategic mindset. Firstly, carefully observe your opponents' moves to anticipate their strategies and adapt accordingly. Secondly, strike a balance between short-term gains and long-term objectives, focusing on maximizing your own position while occasionally disrupting your opponents' plans. Lastly, communication and negotiation can be powerful tools; forming alliances or making temporary deals can greatly enhance your chances of success, but always be mindful of your ultimate goals and be prepared to pivot when necessary to secure victo","The interaction involving a game with tokens and players A and B reminds me of the strategic decision-making often required in real-life scenarios, such as business negotiations or competitive situations. It's akin to the delicate balance between collaboration and competition that we encounter when trying to achieve personal goals while navigating interpersonal relationships and external factors. Just like in the game, real-life success often hinges on observing others, adapting to changing circumstances, and making decisions that serve both immediate and long-term objectives.",Hold,Pass,Hold,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens","2-year degree (Associate's, etc.)",700000,76.0,650b3127f2cda3d1b9e5cdd8,APPROVED,2023-09-20T17:51:35.372000Z,2023-09-20T17:58:22.901000Z,2023-09-20T18:21:57.290000,2023-09-20T17:59:08.683923Z,408.0,C1BEKJ6Y,46,21,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
9/20/23 12:55,9/20/23 13:09,197.184.177.160,100,847,True,9/20/23 13:09,R_1F9cQ09URoKB0PY,,-26.3811,27.8376,EN,1.0,60e855098de3cf2f568ddfc5,5 tokens,15 tokens,,Pass,k,b,Pass,,,,,,,,,"In my opinion, it is safer to always pass to ensure that you always get a higher return than your initial amount of tokens. ","It reminds me of gambling where you have to take a risk in hopes that you'll receive a higher return, and I think the study is trying to capture risk taking behaviour.",Hold,Pass,Pass,Pass,"Gamble 4: Event A, Payoff: 34 tokens; Event B, Payoff: -2 tokens","Four-year degree (Bachelor's, etc.)",10000,80.0,650b32119055bdc44001cdee,APPROVED,2023-09-20T17:55:29.756000Z,2023-09-20T18:11:27.367000Z,2023-09-20T18:21:57.822000,2023-09-20T18:11:28.099613Z,958.0,C1BEKJ6Y,230,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
9/20/23 13:28,9/20/23 13:42,46.103.108.115,100,841,True,9/20/23 13:42,R_3NHYQJhSx8w5V3q,,37.9842,23.7353,EN,1.0,650aee7a7a4ae7fc00c180cb,,,,,ew,b,Hold,,,,,5 tokens,15 tokens,,Hold,I think that the best way to play this game is to hold and be safe. That way you can not end up with nothing.,This interaction reminds me of any bargaining situation and the risk you may have to take. For example when you want to sell a product that does not have a specific price you may ask for a higher return than the products value. This way you may end up with a bigger profit but you risk the possibility of the buyer backing off.,Hold,Hold,Pass,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",Some college,4500000,60.0,650b3882a0e1dfc3c9402b41,APPROVED,2023-09-20T18:27:56.413000Z,2023-09-20T18:42:59.998000Z,2023-09-20T19:11:34.658000,2023-09-20T18:43:01.244986Z,904.0,C18UP4AJ,0,22,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
9/20/23 13:30,9/20/23 13:41,31.0.44.155,100,656,True,9/20/23 13:41,R_22Ybj3tNEJHcBe3,,52.2394,21.0362,EN,1.0,5f9765e68112f6137e06db5d,,,,,ew,a,Pass,,,,,5 tokens,15 tokens,Pass,,"The best way to play is to pass tokens to person B. Person B should choose the pass option, this way both parties will gain. Choosing the hold option is not a bad idea, right, but it is better to choose the option that gives both parties something to gain. Especially since the profit when keeping the tokens for yourself is only slightly higher.","I think this activity is trying to show how people manage money. Do they prefer to share the profits from cooperation or take everything for themselves? When both parties decide to cooperate, we gain much more than when we try to take everything for ourselves.",Pass,Pass,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens","Four-year degree (Bachelor's, etc.)",1000,100.0,650b3a551ae8620a0387a7d0,APPROVED,2023-09-20T18:30:45.270000Z,2023-09-20T18:42:08.185000Z,2023-09-20T19:36:45.177000,2023-09-20T18:42:08.672183Z,683.0,C18UP4AJ,288,23,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
